TF	spearman_pval	spearman_rho	spearman_adj_pval
ATF4	3.80262627394093e-05	0.515604909409702	0.0152105050957637
BATF3	0	0.747691408533022	0
CDX2	0.000795051188326426	0.428345996493279	0.31802047533057
CEBPA	1.21011630388874e-07	0.639099941554647	4.84046521555496e-05
CEBPD	0.155098207222958	0.187317358270018	1
CREB1	0.95167752277326	0.00806545879602572	1
E2F6	0.00344485332707411	0.376972530683811	1
EBF1	7.13311107251591e-05	0.499240210403273	0.0285324442900636
EGR1	0.448490411459639	-0.100350672121566	1
ELF1	0.0027491241854135	-0.385388661601403	1
ELF3	0.258607552344705	-0.149210987726476	1
ESRRA	0.050076118976184	0.256575102279369	1
FOSL1	4.82509140068435e-06	0.5645821157218	0.00193003656027374
FOXK2	0.0240580015106726	0.294213909994156	1
FOXP1	0	-0.736528345996493	0
GABPA	5.15714815824816e-05	-0.507773232028054	0.0206285926329926
GATA1	3.65666642063007e-05	0.516598480420807	0.0146266656825203
HLF	0	0.72343658679135	0
KLF4	0.795648690452709	0.0343658679135009	1
KLF9	1.58569326913966e-05	-0.537171244886032	0.00634277307655866
MAFF	0.0475562940908299	0.2593804792519	1
MAFK	0.0838907035876003	0.227001753360608	1
MEF2A	0.858493992294142	-0.0236703682057276	1
MITF	0.200098692838955	-0.169023962594974	1
MXI1	5.72253870539625e-11	-0.693512565751023	2.2890154821585e-08
MZF1	0.00475467650264913	-0.3645821157218	1
NFIL3	0.000190858899943238	0.472004675628288	0.0763435599772953
NFYB	0.032577011546682	-0.279193454120397	1
NR4A1	0.000658669186832124	-0.434424313267095	0.26346767473285
PBX2	0.000266163929523322	-0.462302746931619	0.106465571809329
PKNOX1	0.017421755530324	0.309468147282291	1
POU2F3	0.46890817417708	-0.0959088252483928	1
PRDM1	0.105478889610886	0.212857977790766	1
RUNX3	2.03614074233099e-06	-0.583284628872005	0.000814456296932396
SPIB	5.64998980413905e-09	0.682758620689655	2.25999592165562e-06
TCF3	6.65303998341214e-09	0.68135593220339	2.66121599336486e-06
TCF4	0	0.69906487434249	0
TCF7	0.048960525544051	-0.257802454704851	1
TEAD1	0.017598957876873	0.309000584453536	1
TEAD4	6.40105415360491e-08	0.650438340151958	2.56042166144196e-05
USF1	0.0127895262664845	-0.32343658679135	1
YY2	0.7214853246905	0.0472822910578609	1
ZNF263	0.6809230840907	0.0545295149035652	1
CREM	0.422395213096651	0.106195207481005	1
KLF7	0.042971050904485	-0.264815897136178	1
PATZ1	0.000714832387502633	0.431794272355348	0.285932955001053
SATB1	0.00572702188734889	0.357218001168907	1
SMAD2	0.302678071604843	0.136236119228521	1
TFCP2	0.0279959490139793	-0.286791350087668	1
THRA	0.550065124954108	-0.0791934541203975	1
TRPS1	0.112058818230728	0.209000584453536	1
ZBED2	0.123174840413497	0.202863822326125	1
ZFP14	0.00183675788292478	-0.399941554646406	0.734703153169914
ZKSCAN3	0.248217070724272	-0.152483927527762	1
ZNF211	0.0138024726793264	-0.320046756282876	1
ZNF214	0.270451409733452	0.145587375803624	1
ZNF320	0.24712103146055	0.152834599649328	1
ZNF324	0.44109474220313	0.101987142022209	1
ZNF354A	0.000265638476631675	-0.462361192285213	0.10625539065267
ZNF416	0.609648205282445	-0.0676797194623028	1
ZNF418	0.00740896509282024	-0.346756282875511	1
ZNF530	0.000238635254506232	0.46551724137931	0.0954541018024929
ZNF574	3.7793061288493e-08	0.659205143191116	1.51172245153972e-05
ZNF582	0.952379570415117	-0.00794856808883694	1
ZNF667	0.127850332247307	0.200409117475161	1
ZNF669	0.442410351308862	-0.101694915254237	1
ZNF692	0.240793690163708	-0.154880187025132	1
ZNF701	0.0628714158087979	-0.243892460549386	1
FOXD3	0.322297153036462	0.130859146697838	1
PAX2	0.448225097888706	0.100409117475161	1
SP1	0.621769097017629	-0.0654003506721216	1
NR4A2	0.0318337997390077	-0.280362361192285	1
CEBPB	0.440306432579453	0.102162478082992	1
KLF1	0.124276006389201	0.202279368790181	1
POU2F2	0.00174763518138109	0.401694915254237	0.699054072552436
RFX1	0.00950981716709164	-0.336294564582116	1
SP2	6.94750703623765e-05	-0.499941554646406	0.0277900281449506
USF2	0.0054167880460946	0.359438924605494	1
NFATC3	2.99609259980301e-09	-0.68708357685564	1.1984370399212e-06
HOXC11	0.747408134167387	0.0427235534774985	1
MSX1	0.00966762892362566	0.335593220338983	1
SP4	0.000291961048269358	-0.459555815312683	0.116784419307743
TBX21	0.410690617864241	0.108883693746347	1
KLF12	0.00359150498178452	-0.375394506136762	1
CUX1	2.54898789638413e-07	0.625131502045588	0.000101959515855365
ONECUT2	0.629906199791851	-0.0638807714786675	1
ELK3	0.0392815223231317	-0.269549970777323	1
ETV4	0.0176881375371324	-0.308766803039158	1
ETV5	2.38828018967901e-05	-0.527235534774986	0.00955312075871603
RFX3	0.22709752713655	-0.159438924605494	1
CLOCK	0.855379184386226	-0.0241963763880772	1
TFE3	0.0507229157911815	0.255873758036236	1
CEBPE	0.21643989558546	0.16312098188194	1
FOXD2	0.157858761802478	-0.186090005844535	1
E2F8	0.0125715328563241	0.324196376388077	1
ELF2	0.0926941970620181	0.220923436586791	1
GLI3	0.0148263480201938	0.316832261835184	1
HOXA7	0	0.713793103448276	0
KLF10	0.000492693497927965	0.443600233781414	0.197077399171186
NFATC4	0.0101686862169889	-0.333430742255991	1
NR1D2	0.000447613681076638	-0.446580946814728	0.179045472430655
SOX18	5.17262838694427e-07	0.611338398597312	0.000206905135477771
ZNF75D	0.0126048592624325	-0.324079485680888	1
ZNF281	0.220457557139529	-0.161718293395675	1
BACH1	0.000142842511401851	-0.480245470485097	0.0571370045607404
THAP1	0.641562034660568	-0.0617182933956751	1
