name	variability	bootstrap_lower_bound	bootstrap_upper_bound	p_value	p_value_adj
POU5F1	2.6548167674629	2.2351042340184	2.96520571398596	3.53717545698345e-71	4.85892254918958e-71
RBPJ	6.16622874412434	5.65302610020117	6.57209665031669	0	0
RELB	2.57365917586914	2.23986439567093	2.86217773176035	4.33292439178079e-65	5.82827875568018e-65
SIX1	3.1302468946547	2.75921817635498	3.43691036670813	8.09066705828298e-112	1.31855455584612e-111
SIX2	3.13762142606439	2.85354292098539	3.38089551401931	1.62760711012259e-112	2.65924697032656e-112
SOX10	6.29931126104569	5.79749521008136	6.69812420696199	0	0
SOX13	3.89598001789993	3.5648271649815	4.18795509398309	1.14883226554668e-194	2.57195320349033e-194
TEAD2	5.38203642534625	4.90938308691324	5.80616294718939	0	0
TFDP1	4.94986982945482	4.27286948136158	5.48606736067304	0	0
ZBTB7A	4.1004884833795	3.46163449689849	4.67401118739515	2.40030966436868e-220	5.95019292278367e-220
ZEB1	5.76091053179063	4.74012128590148	6.53530682420645	0	0
ZNF24	4.92497167434128	4.51786726128505	5.28101652617066	0	0
ZNF384	4.73074208263551	4.23588309644564	5.15659746165009	9.26288135248516e-309	3.32949124169883e-308
ZNF282	4.49007900223009	4.11368817203466	4.80294574975095	2.35810243071447e-273	7.1966616635484e-273
ZSCAN4	4.49173821439862	4.05223688440266	4.86010749984518	1.3658457883963e-273	4.18816220422942e-273
FOS_JUN	5.18562293746371	4.29783847353312	5.77516465223201	0	0
FOSB_JUN	3.93708252635633	3.42294698885407	4.46393560470345	1.04284694964059e-199	2.42705746912756e-199
FOSL1_JUN	5.93528624278138	4.97681885692197	6.60707566047022	0	0
FOSL2_JUN	5.86361553006524	4.92570659202637	6.50830893714987	0	0
JUN_JUNB	4.53683436135039	3.9552342916783	5.03303544757972	4.49370183829357e-280	1.43931935117621e-279
FOS_JUNB	7.70314467278019	6.5838599056824	8.50265227829582	0	0
FOSB_JUNB	5.19454384908181	4.36682888871032	5.75864406702458	0	0
FOSL1_JUNB	8.01526208029853	6.8576127268229	8.84401862176937	0	0
FOSL2_JUNB	5.71562583662881	4.8178688762746	6.33536622062403	0	0
FOS_JUND	7.262291426672	6.23878184367338	7.99546319531132	0	0
FOSL1_JUND	6.38652440494849	5.29071535724137	7.13253642603904	0	0
FOSL2_JUND	4.95532827140138	4.19936532498777	5.48472942993912	0	0
NR1H4_RXRA	1.72325253254876	1.450753881311	1.9556786113452	5.90232785539554e-17	6.26033790564085e-17
NR4A2_RXRA	1.96025986436891	1.50559259486288	2.31917339375709	2.12263197453767e-27	2.36783256469978e-27
PPARA_RXRA	2.79206829945575	2.52904365876248	3.00309446627543	4.82990175308871e-82	6.94432540944088e-82
RARA_RXRG	2.43540528003661	2.18533926244683	2.64606597758844	2.6683338595125e-55	3.39177211611903e-55
RORB	2.08770029475761	1.78245446039717	2.33215067958221	5.44664092115756e-34	6.24818559572507e-34
RORC	1.63653496853241	1.44899152313509	1.799092510909	9.62738918538011e-14	1.0062876902974e-13
